_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
852,The New Royal College of Engineering and Technology,Anna University,"The New Royal College of Engineering and Technology, Kanchipuram",Engineering,AICTE,1326,Anna University,2008,Co-Education,Self Finance,"The New Royal College of Engineering and Technology,

East Coast Road,

Poonjeri Village,

Thirukkalukundram,

Kanchipuram.",603 104,Kanchipuram,Kanchipuram,04427443116,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
853,Shri Aravindar Arts and Science College,Tiruvalluvar University,"Shri Aravindar Arts and Science College, Villupuram",Arts & Science,null,null,Tiruvalluvar University,2000,Co-Education,Self Finance,"Shri Aravindar Arts and Science College

Sri Aravindar Nagar

Pondymailam Main Road

Akasampet

Sederaper Post

Vanur Taluk

Villupuram",605 111,Villupuram,Villupuram,null,null,"B.Sc. - Computer Science,B.Sc. - Electronics,B.Sc. - Hotel Management & Catering Technology,B.Sc. - Mathematics,B.Com. - (Regular),B.Com. - Corporate Secretaryship,B.C.S. - Corporate Secretaryship,B.C.A. - Computer Application,B.B.A. - Business Administration,M.Sc. - Computer Science,M.Com. - (Regular)"
854,SACS M.A.V.M.M. Engineering College,Anna University,"SACS M.A.V.M.M. Engineering College, Madurai",Engineering,null,null,Anna University,null,Co-Education,Self Finance,"SACS M.A.V.M.M. Engineering College,

Kidaripatty(PO) , 

Alagarkoil (via),

Melur taluk,

Madurai.",625 301,Madurai,Madurai,04522-470500,04522-470501,"B.E. - Automobile Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
855,Universal College of Education,Tamil Nadu Teachers Education University,"Universal College of Education, Tirunelveli",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Universal College of Education

Anbagam Campus

Kadambankulam Vilakku

Vallioor - Radhapuram Road

Tirunelveli",627 117,Tirunelveli,Tirunelveli,null,null,B.Ed. - Education
856,Sri Ramakrishna Dental College,Tamil Nadu Dr. M.G.R. Medical University,"Sri Ramakrishna Dental College, Coimbatore",Dental,DCI,null,Tamil Nadu Dr. M.G.R. Medical University,2000,Co-Education,Self Finance,"Sri Ramakrishna Dental College

S.N.R. College Road

Coimbatore",641 006,Coimbatore,Coimbatore,null,null,B.D.S. - Dental Surgery
857,Ramachandira College of Education,Tamil Nadu Teachers Education University,"Ramachandira College of Education, Vedaraniam, Nagapattinam",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Ramachandira College of Education

Somanathar Street

Vedaraniam",614 810,Vedaraniam,Nagapattinam,null,null,B.Ed. - Education
858,Kevi Womens College of Education,Tamil Nadu Teachers Education University,"Kevi Womens College of Education, Salem",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Womens,Self Finance,"Kevi Womens College of Education

No.1, Devi Complex

1st Agraharam

Near Old Bus Stand

Salem",636 001,Salem,Salem,null,null,B.Ed. - Education
859,Dr. Rajabather Tagore Women Teachers Training College,Tamil Nadu Teachers Education University,"Dr. Rajabather Tagore Women Teachers Training College, Tindivanam, Villupuram",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Womens,Self Finance,"Dr. Rajabather Tagore Women Teachers Training College

No.88E, Gingee Road

Tindivanam",604 001,Tindivanam,Villupuram,null,null,B.Ed. - Education
860,Saraswathi College of Education,Tamil Nadu Teachers Education University,"Saraswathi College of Education, Tiruvallur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,null,Co-Education,Self Finance,"Saraswathi College of Education

No.23, Ponnamallee High Road

Ganesapuram

Manvala Nagar

Thiruvallur",602 002,Tiruvallur,Tiruvallur,null,null,B.Ed. - Education
861,Annai Terasa College of Education,Tamil Nadu Teachers Education University,"Annai Terasa College of Education, Karaikudi, Sivagangai",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Annai Terasa College of Education

Ariyakudi Post

Karaikudi",630 202,Karaikudi,Sivagangai,null,null,B.Ed. - Education
